account_id,account_holder1,addr1,addr2,addr3,addr4,postcode,propref,vo_propdescrip,liable_from,current_rv,sbrr,retail
7.1193477E7,BLUE COMMUNICATION LIMITED      ,CAR SPACES 8-10                    ,MAYFIELD HOUSE                     ,256 BANBURY ROAD                ,OXFORD                          ,OX2 7DE ,1.1026025614E10,Car Parking Space and Premises                              ,2015-01-09T00:00:00Z,1050.0,      ,      
7.1189289E7,HAMPTONS INTERNATIONAL LTD      ,257 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.10260257E10,SHOP AND PREMISES                                           ,2011-10-05T00:00:00Z,33000.0,      ,Y     
7.1189289E7,HAMPTONS INTERNATIONAL LTD      ,257 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.10260257E10,SHOP AND PREMISES                                           ,2011-10-05T00:00:00Z,33000.0,      ,Y     
7.1189289E7,HAMPTONS INTERNATIONAL LTD      ,257 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.10260257E10,SHOP AND PREMISES                                           ,2011-10-05T00:00:00Z,33000.0,      ,Y     
7.0800881E7,J & M INSULATIONS LTD           ,257A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026025702E10,OFFICES AND PREMISES                                        ,1995-07-26T00:00:00Z,8000.0,      ,      
7.0800881E7,J & M INSULATIONS LTD           ,257A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026025702E10,OFFICES AND PREMISES                                        ,1995-07-26T00:00:00Z,8000.0,      ,      
7.0800881E7,J & M INSULATIONS LTD           ,257A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026025702E10,OFFICES AND PREMISES                                        ,1995-07-26T00:00:00Z,8000.0,      ,      
7.1187523E7,ORCHID PUBS & DINING LTD        ,THE DEW-DROP INN                   ,258 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DX ,1.10260258E10,PUBLIC HOUSE AND PREMISES                                   ,2008-12-13T00:00:00Z,88000.0,      ,      
7.1187523E7,ORCHID PUBS & DINING LTD        ,THE DEW-DROP INN                   ,258 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DX ,1.10260258E10,PUBLIC HOUSE AND PREMISES                                   ,2008-12-13T00:00:00Z,88000.0,      ,      
7.1187523E7,ORCHID PUBS & DINING LTD        ,THE DEW-DROP INN                   ,258 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DX ,1.10260258E10,PUBLIC HOUSE AND PREMISES                                   ,2008-12-13T00:00:00Z,88000.0,      ,      
7.1187596E7,CLEAR CHANNEL UK LTD            ,ADSHEL (4102/0206)                 ,258 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DX ,1.1026025802E10,ADVERTISING RIGHT AND PREMISES                              ,2009-03-03T00:00:00Z,600.0,      ,      
7.1187596E7,CLEAR CHANNEL UK LTD            ,ADSHEL (4102/0206)                 ,258 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DX ,1.1026025802E10,ADVERTISING RIGHT AND PREMISES                              ,2009-03-03T00:00:00Z,600.0,      ,      
7.1187596E7,CLEAR CHANNEL UK LTD            ,ADSHEL (4102/0206)                 ,258 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DX ,1.1026025802E10,ADVERTISING RIGHT AND PREMISES                              ,2009-03-03T00:00:00Z,600.0,      ,      
7.1188583E7,J & M INSULATIONS LTD           ,259A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026025902E10,OFFICES AND PREMISES                                        ,2010-10-25T00:00:00Z,8000.0,      ,      
7.1188583E7,J & M INSULATIONS LTD           ,259A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026025902E10,OFFICES AND PREMISES                                        ,2010-10-25T00:00:00Z,8000.0,      ,      
7.1188583E7,J & M INSULATIONS LTD           ,259A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026025902E10,OFFICES AND PREMISES                                        ,2010-10-25T00:00:00Z,8000.0,      ,      
7.1184818E7,JOE'S RESTAURANTS LIMITED       ,260 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7DX ,1.1026026001E10,RESTAURANT AND PREMISES                                     ,2005-03-14T00:00:00Z,60500.0,      ,Y     
7.1184818E7,JOE'S RESTAURANTS LIMITED       ,260 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7DX ,1.1026026001E10,RESTAURANT AND PREMISES                                     ,2005-03-14T00:00:00Z,60500.0,      ,Y     
7.1184818E7,JOE'S RESTAURANTS LIMITED       ,260 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7DX ,1.1026026001E10,RESTAURANT AND PREMISES                                     ,2005-03-14T00:00:00Z,60500.0,      ,Y     
7.1191935E7,JOE'S RESTAURANTS LIMITED       ,STORE PT GND FLR 262 BANBURY ROAD  ,OXFORD                             ,                                ,                                ,OX2 7DX ,1.1026026002E10,Store and Premises                                          ,2014-06-16T00:00:00Z,370.0,      ,      
7.1191935E7,JOE'S RESTAURANTS LIMITED       ,STORE PT GND FLR 262 BANBURY ROAD  ,OXFORD                             ,                                ,                                ,OX2 7DX ,1.1026026002E10,STORE AND PREMISES                                          ,2014-06-16T00:00:00Z,370.0,      ,      
7.1191935E7,JOE'S RESTAURANTS LIMITED       ,STORE PT GND FLR 262 BANBURY ROAD  ,OXFORD                             ,                                ,                                ,OX2 7DX ,1.1026026002E10,STORE AND PREMISES                                          ,2014-06-16T00:00:00Z,370.0,      ,      
7.0020961E7,LADBROKES LTD                   ,261 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026026101E10,BETTING SHOP AND PREMISES                                   ,1991-01-04T00:00:00Z,51500.0,      ,Y     
7.0020961E7,LADBROKES LTD                   ,261 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026026101E10,BETTING SHOP AND PREMISES                                   ,1991-01-04T00:00:00Z,51500.0,      ,Y     
7.0020961E7,LADBROKES LTD                   ,261 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.1026026101E10,BETTING SHOP AND PREMISES                                   ,1991-01-04T00:00:00Z,51500.0,      ,Y     
